cool video game, idk, 2013, pc, me
DOOM, FPS, 1993, PC, ID software
Garry's Mod, Sandbox, 2004, PC, Valve
Team Fortress 2, FPS, 2007, PC, Valve
For Honor, Fighting, 2017, PC, Ubisoft
Terraria, Sandbox, 2011, PC, Re-Logic
Counter Strike, FPS, 1999, PC, Valve
PAYDAY 2, FPS, 2013, PC, Overkill Studio
Angry Birds, Puzzle, 2009, Mobile, Rovio
Super Smash Bros. Ultimate, Fighting, 2018, Nintendo Switch, Nintendo
Minecraft, Sandbox, 2011, PC, Mojang
The Elder Scrolls V: Skyrim, RPG, 2011, PC, Bethesda
Slenderman, Horror, 2012, PC, Parsec
Halo, FPS, 2001, XBOX, Bungie
Mass Effect, Horror, 2007, XBOX, Bioware
Valorant, FPS, 2020, PC, Riot Games
Valheim, RPG, 2021, PC, Iron Gate AB
Among Us, Puzzle, 2018, Mobile, Innersloth
DARK SOULS III, Singleplayer, 2016, BANDAI NAMCO
Half Life, Singleplayer, 1999, PC, Valve
Half Life 2, Singleplayer, 2004, PC, Valve
DOOM Eternal, FPS, 2020, PC, ID software
Metro 2033, Singleplayer, 2014, PC, 4A Games
Portal 2, Puzzle, 2011, PC, Valve
Quake, FPS, 1996, PC, ID software
Diablo II, RPG, 2000, PC, Blizzard
Fallout 3, RPG, 2008, XBOX, Bethesda
Counter Strike: Global Offensive, FPS, 2012, PC, Valve
The Last of Us, Singleplayer, 2013, PS4, Naughty Dog Games
Red Dead Redemption 2, Sandbox, 2018, PS4, Rockstar Studios
Grand Theft Auto V, Sandbox, 2013, PC, Rockstar Games
Ghost of Tsushima, Singleplayer, 2020, PS4, Sucker Punch Studios
Sekiro: Shadows die Twice, Singleplayer, 2019, PS4, FromSoftware
Star Wars Jedi: Fallen Order, Singleplayer, 2019, PS4, Respawn Entertainment
Plants vs Zombies, Singleplayer, 2009, Mobile, Popcap Games
Rise of the Tomb Raider, Singleplayer, 2016, XBOX, Crystal Dynamics
The Sims 2, RPG, 2004, XBOX, Electronic Arts
Street Fighter IV, Fighting, 2008, XBOX, Capcom
Rust, Singleplayer, 2013, PC, Facepunch Studios
